Manual area, OrganoID area
7873, 8175
7887, 6088
2670, 3157
47378, 50329
2615, 3212
3562, 4104
7791, 9726
2759, 3967
3445, 6891
18204, 24341
47089, 51016
3679, 8793
1578, 2203
3775, 4825
6507, 5409
10090, 12349
2121, 1640
2093, 1771
2718, 3205
5718, 5395
4146, 5024
4077, 4008
8353, 9857
42435, 45414
11257, 11690
2093, 2608
14573, 16138
3061, 3473
54414, 59466
13213, 23785
20703, 24890
4551, 4660
14023, 14792
2031, 1716
7708, 10571
16151, 14813
16282, 16447
13934, 10983
12959, 11202
16666, 18080
5203, 5676
8161, 9829
7495, 8813
11731, 12603
6830, 8257
3500, 3960
1585, 2395
18815, 23531
4118, 4681
2869, 3239
3164, 4118
1558, 2526
2567, 3260
2622, 3796
6994, 4908
1510, 1956
7763, 12637
1819, 1915
7289, 8072
8450, 8999
7084, 8958
1887, 2402
4496, 4763
2313, 3336
3933, 4942
1681, 1887
6349, 6157
4084, 4255
1716, 1997
6177, 9671
4475, 5065
10996, 12603
1619, 1716
3246, 3768
2066, 2320
2189, 2766
2478, 1475
4708, 5800
2285, 1915
1825, 1619
1949, 2244
2903, 3569
5319, 6054
1942, 2429
10049, 11147
2478, 2828
7310, 8971
2608, 3219
4070, 4358
3507, 6404
5470, 6823
6637, 7873
3109, 3864
1716, 2471
2697, 3253
5690, 5635
2862, 3322
10207, 10070
9637, 11559
1633, 2635
1585, 2230
6644, 8930
2457, 4379
8937, 9733
1983, 1867
4956, 6528
1729, 2203
5848, 7674
8546, 8779
24018, 25212
2732, 2773
5834, 6205
2725, 3088
2018, 1983
40019, 41591
6891, 7585
2862, 2834
1722, 2354
5779, 6349
24045, 24341
6514, 7640
27690, 28995
10735, 11882
4111, 6727
12301, 15424
21698, 15630
11367, 14710
8113, 8415
1640, 1427
12115, 14648
11243, 11504
10578, 12369
24766, 26805
12321, 13893
7537, 7001
12115, 18472
2841, 2732
9699, 9012
7468, 7441
42888, 48737
4070, 4022
12506, 12719
5512, 5608
22940, 26675
8855, 10619
11504, 5766
5011, 4626
3974, 3988
3603, 4448
11291, 12081
28432, 31438
7276, 6795
10090, 13344
11484, 12520
28748, 30553
16234, 16488
3809, 4125
8642, 9136
18540, 16920
14559, 15822
6047, 6452
4352, 4166
16453, 18787
5587, 4647
21156, 22625
5539, 6198
18890, 23510
11257, 20071
6967, 6960
6301, 6507
10660, 11305
23263, 26592
10475, 18279
6294, 6830
8752, 8079
31727, 37754
21183, 22515
5031, 4805
4990, 5093
7063, 7173
3185, 3219
3720, 3487
13536, 14820
17476, 17854
8038, 8765
10632, 11017
22020, 23256
13591, 14360
6116, 6637
13735, 13701
7125, 15637
9376, 9287
20998, 22096
35928, 40369
30066, 31246
9294, 9747
9472, 9905
5422, 5354
15774, 15822
5409, 5127
11072, 11339
20085, 20339
6685, 6919
6884, 7077
6713, 7118
4894, 5409
5704, 6164
2402, 2121
3768, 4551
5903, 6212
43403, 28363
9802, 10138
6878, 8106
12232, 12376
8820, 9411
5772, 5731
6459, 6205
6631, 6521
3624, 3493
8017, 7516
3850, 3816
6308, 6383
17593, 19872
2306, 2127
2134, 2512
5278, 6226
9019, 9095
4983, 5491
3233, 3308
5752, 5841
15232, 15740
11463, 12616
10783, 12184
4853, 5656
3528, 4894
11106, 12589
14971, 18259
6596, 6061
1681, 1757
14943, 18101
3631, 4393
4777, 4949
5896, 6857
2718, 2828
13083, 13866
40726, 47680
10667, 10578
27697, 28693
5669, 5388
2807, 2869
12088, 12980
42531, 47494
16241, 16762
2766, 3219
1729, 2052
8779, 10612
8525, 7962
14888, 15863
10687, 11161
5017, 5766
33814, 40719
12754, 13687
11237, 11511
38351, 50062
26016, 26716
21286, 26022
5491, 6720
42929, 43465
35413, 39641
16591, 17009
18842, 19227
9239, 10708
18499, 18581
18657, 23441
2024, 2635
5313, 7585
2368, 2683
3294, 2505
2381, 1791
16515, 17099
24279, 19625
6541, 7749
10221, 17442
14806, 17318
1853, 2375
5134, 4221
7386, 9431
6631, 4544
4805, 4935
2732, 3013
7097, 7413
2629, 2635
2828, 3075
3356, 3500
2395, 2786
3075, 3143
3047, 3487
1867, 1825
11470, 12424
7180, 7694
1983, 1750
5539, 5656
3953, 6651
7550, 8058
4159, 4647
1935, 2450
13014, 15602
2409, 2127
6521, 7173
2924, 2773
2402, 1915
5244, 5168
11463, 12637
2615, 3034
3919, 1812
4468, 5086
2539, 2203
5663, 2821
10454, 8964
13117, 12307
3267, 2663
17552, 19858
12040, 14470
4825, 3226
21492, 15678
2972, 2532
10193, 10852
20215, 22096
1812, 8395
2944, 2244
2622, 2066
5361, 5862
4949, 6081
35193, 36010
18959, 11127
8086, 14559
22096, 8690
3281, 3404
7001, 6905
6431, 5134
46389, 51743
2848, 2031
25954, 27931
9390, 11051
19419, 21801
4290, 4880
5690, 3377
14428, 15149
3535, 3542
34726, 39326
4365, 4654
12918, 7694
20881, 30704
5168, 2766
4043, 4818
8656, 13090
10845, 7207
5718, 6047
3658, 4667
3651, 4379
2629, 3102
2951, 3761
2203, 2800
6315, 7447
12548, 14312
2828, 3205
6809, 10564
16769, 19034
3583, 5189
55889, 72192
5416, 8003
7550, 7344
10735, 16282
37946, 39676
8992, 9685
24100, 26276
9143, 11113
14682, 14744
11333, 13742
8841, 11442
7262, 6569
13399, 14875
7825, 7235
12403, 14154
3857, 5065
5580, 6377
5491, 10022
1832, 1860
1970, 2244
1565, 2608
2121, 2635
1880, 1578
3384, 4159
2642, 2169
1661, 1674
2532, 2388
7894, 8553
2464, 2883
2423, 2896
11422, 14106
2704, 4214
24787, 37541
9692, 11092
3336, 4722
20009, 22261
10756, 13227
3384, 3535
9864, 14023
4839, 5361
17318, 21458
10310, 10289
12273, 20503
6431, 6226
10413, 21341
10749, 9603
110407, 114312
6960, 4358
15108, 16522
13653, 7997
11669, 11154
4180, 4049
5367, 4667
6239, 4571
5505, 4001
10385, 9369
5395, 3892
64230, 32022
18005, 9719
9445, 7743
8587, 9637
2450, 2800
14909, 13474
2656, 2738
7523, 7351
14477, 15403
24986, 24691
2526, 2169
10969, 11655
18224, 15156
9349, 2718
3054, 3020
2478, 2169
55059, 27217
5518, 5992
4324, 4228
6088, 6026
2457, 4001
3727, 2148
2718, 2581
1928, 2100
12259, 13152
5752, 6328
3583, 3898
5017, 4777
6370, 6356
4859, 5017
3130, 2910
6665, 7049
7152, 4997
2402, 2471
2237, 2011
5065, 4441
2718, 2292
2244, 1853
3528, 3439
4008, 3624
6884, 8292
5848, 3061
15987, 16687
3995, 4077
2546, 2821
4420, 4949
3239, 3603
1530, 1434
4880, 5869
2574, 2258
4297, 4962
3212, 5917
3226, 3342
2958, 3075
1983, 1668
1668, 1372
3480, 3734
2848, 2979
2182, 2011
2677, 2512
2683, 2450
1922, 4310
3363, 3233
3082, 3150
5361, 6658
4029, 4194
1867, 2107
3068, 3198
2024, 2251
4640, 5189
1853, 1736
7447, 9726
1668, 1736
2821, 3459
3603, 3466
3384, 3514
5175, 5553
3596, 3542
3507, 3034
3157, 3267
4420, 4029
5004, 6486
8038, 12246
2478, 2697
2333, 2526
1427, 1565
4928, 5107
2189, 2162
4688, 4118
2464, 2272
2127, 1976
3823, 3082
