Filename,ID,Feature,Manual,Automated
ACC1,0,Area,1152.000000,1191.000000
ACC1,0,Perimeter,139.882251,135.781746
ACC1,0,Solidity,0.953642,0.961259
ACC1,0,Eccentricity,0.842770,0.809391
ACC1,0,Circularity,0.739839,0.811781
ACC1,0,X,114.026042,115.616289
ACC1,0,Y,22.123264,20.670865
ACC1,1,Area,1145.000000,887.000000
ACC1,1,Perimeter,136.811183,128.325902
ACC1,1,Solidity,0.936989,0.878218
ACC1,1,Eccentricity,0.833878,0.598892
ACC1,1,Circularity,0.768727,0.676869
ACC1,1,X,222.801747,229.095829
ACC1,1,Y,78.531004,75.266065
ACC1,2,Area,386.000000,460.000000
ACC1,2,Perimeter,73.112698,77.597980
ACC1,2,Solidity,0.953086,0.970464
ACC1,2,Eccentricity,0.565070,0.356623
ACC1,2,Circularity,0.907427,0.959990
ACC1,2,X,350.023316,350.434783
ACC1,2,Y,104.689119,103.841304
ACC1,3,Area,6914.000000,7332.000000
ACC1,3,Perimeter,316.835570,320.534055
ACC1,3,Solidity,0.983080,0.986677
ACC1,3,Eccentricity,0.311789,0.314516
ACC1,3,Circularity,0.865509,0.896776
ACC1,3,X,252.979028,253.917212
ACC1,3,Y,292.521550,292.438352
ACC1,4,Area,392.000000,468.000000
ACC1,4,Perimeter,71.112698,79.012193
ACC1,4,Solidity,0.982456,0.966942
ACC1,4,Eccentricity,0.216698,0.358333
ACC1,4,Circularity,0.974096,0.942036
ACC1,4,X,338.043367,337.833333
ACC1,4,Y,383.357143,382.252137
ACC1,5,Area,518.000000,598.000000
ACC1,5,Perimeter,83.012193,89.254834
ACC1,5,Solidity,0.975518,0.973941
ACC1,5,Eccentricity,0.534056,0.400870
ACC1,5,Circularity,0.944617,0.943295
ACC1,5,X,173.173745,173.073579
ACC1,5,Y,462.102317,462.483278
ACC2,0,Area,1131.000000,1417.000000
ACC2,0,Perimeter,137.154329,147.882251
ACC2,0,Solidity,0.938589,0.961982
ACC2,0,Eccentricity,0.836596,0.811236
ACC2,0,Circularity,0.755533,0.814231
ACC2,0,X,82.908046,82.482004
ACC2,0,Y,88.601238,88.621030
ACC2,1,Area,413.000000,578.000000
ACC2,1,Perimeter,72.769553,88.083261
ACC2,1,Solidity,0.983333,0.958541
ACC2,1,Eccentricity,0.450129,0.299352
ACC2,1,Circularity,0.980078,0.936162
ACC2,1,X,210.726392,210.583045
ACC2,1,Y,114.665860,114.477509
ACC2,2,Area,504.000000,1004.000000
ACC2,2,Perimeter,82.769553,139.539105
ACC2,2,Solidity,0.963671,0.889283
ACC2,2,Eccentricity,0.360726,0.833180
ACC2,2,Circularity,0.924484,0.647965
ACC2,2,X,407.702381,413.052789
ACC2,2,Y,116.906746,123.474104
ACC2,3,Area,2661.000000,3546.000000
ACC2,3,Perimeter,213.681241,252.793939
ACC2,3,Solidity,0.931397,0.923197
ACC2,3,Eccentricity,0.720870,0.829698
ACC2,3,Circularity,0.732355,0.697293
ACC2,3,X,458.662533,459.770728
ACC2,3,Y,148.068395,141.411168
ACC2,4,Area,6859.000000,7432.000000
ACC2,4,Perimeter,316.977705,324.333044
ACC2,4,Solidity,0.981961,0.985807
ACC2,4,Eccentricity,0.317651,0.268477
ACC2,4,Circularity,0.857854,0.887837
ACC2,4,X,113.608398,113.942411
ACC2,4,Y,302.867911,303.235737
ACC2,5,Area,540.000000,1281.000000
ACC2,5,Perimeter,88.769553,158.267027
ACC2,5,Solidity,0.959147,0.872022
ACC2,5,Eccentricity,0.723947,0.873907
ACC2,5,Circularity,0.861144,0.642655
ACC2,5,X,224.585185,211.160031
ACC2,5,Y,401.662963,397.281030
ACC2,6,Area,227.000000,321.000000
ACC2,6,Perimeter,54.627417,64.870058
ACC2,6,Solidity,0.957806,0.961078
ACC2,6,Eccentricity,0.546241,0.505882
ACC2,6,Circularity,0.955904,0.958576
ACC2,6,X,347.321586,347.370717
ACC2,6,Y,424.259912,424.109034
ACC2,7,Area,552.000000,703.000000
ACC2,7,Perimeter,86.183766,96.669048
ACC2,7,Solidity,0.976991,0.972337
ACC2,7,Eccentricity,0.532179,0.414734
ACC2,7,Circularity,0.933895,0.945345
ACC2,7,X,33.630435,34.034139
ACC2,7,Y,472.833333,472.770982
ACC2,8,Area,946.000000,788.000000
ACC2,8,Perimeter,133.597980,168.610173
ACC2,8,Solidity,0.968270,0.829474
ACC2,8,Eccentricity,0.888085,0.930047
ACC2,8,Circularity,0.666041,0.348312
ACC2,8,X,400.019027,400.170051
ACC2,8,Y,501.769556,503.616751
ACC3,0,Area,1473.000000,1799.000000
ACC3,0,Perimeter,147.539105,165.195959
ACC3,0,Solidity,0.962745,0.961004
