Gemcitabine Dosage (nM), Replicate, Time (hr), Organoid ID, Masked fluorescence, Area, Circularity
0,1,0,1,1502,1736,0.864907
0,1,0,2,4439,4832,0.768924
0,1,0,3,2926,3438,0.846418
0,1,0,4,3974,4412,0.865182
0,1,0,5,1593,1864,0.871582
0,1,0,6,3313,3724,0.831532
0,1,0,7,3974,4308,0.841279
0,1,0,8,1819,2028,0.883108
0,1,0,9,1773,2096,0.869748
0,1,0,10,1811,1964,0.855673
0,1,0,11,412,456,0.862180
0,1,0,12,359,408,0.721715
0,1,0,13,704,944,0.876344
0,1,0,14,626,632,0.835785
0,1,0,15,551,632,0.868361
0,1,0,16,532,656,0.840361
0,1,0,17,1399,944,0.673992
0,1,0,18,399,428,0.875161
0,1,0,19,689,692,0.855196
0,1,0,20,445,484,0.882369
0,1,0,21,440,496,0.893240
0,1,0,22,954,996,0.804207
0,1,0,23,436,504,0.835840
0,1,0,24,965,1108,0.884173
0,1,0,25,581,672,0.888859
0,1,0,26,816,964,0.877309
0,1,4,1,2050,2228,0.875995
0,1,4,2,5376,5340,0.853616
0,1,4,3,3030,3078,0.843778
0,1,4,4,6010,6064,0.775362
0,1,4,5,2387,2572,0.860846
0,1,4,6,3607,3760,0.809667
0,1,4,7,3348,3340,0.836505
0,1,4,8,1504,1604,0.876698
0,1,4,9,2665,2916,0.858748
0,1,4,10,1894,1892,0.849894
0,1,4,12,1903,1992,0.849783
0,1,4,13,1199,1524,0.857658
0,1,4,14,1567,1368,0.835432
0,1,4,15,374,408,0.854469
0,1,4,16,596,704,0.877290
0,1,4,17,854,680,0.705041
0,1,4,19,992,776,0.826663
0,1,4,21,634,688,0.876845
0,1,4,22,1399,1056,0.819742
0,1,4,23,687,752,0.855521
0,1,4,24,1387,1428,0.863618
0,1,4,26,1243,1408,0.866407
0,1,4,27,2959,3330,0.857460
0,1,4,28,420,560,0.881052
0,1,4,29,557,578,0.880436
0,1,4,30,464,520,0.840179
0,1,8,1,1204,1272,0.862842
0,1,8,2,5562,5376,0.840542
0,1,8,3,3582,3184,0.868726
0,1,8,4,5870,5728,0.813965
0,1,8,5,2627,2860,0.846016
0,1,8,6,4480,4740,0.864765
0,1,8,7,5024,5120,0.845842
0,1,8,8,1419,1496,0.870394
0,1,8,9,2772,2998,0.862996
0,1,8,10,2126,2020,0.867786
0,1,8,12,1895,1996,0.843132
0,1,8,13,1294,1660,0.864270
0,1,8,14,1267,1088,0.895128
0,1,8,15,1034,1124,0.867233
0,1,8,16,613,724,0.852629
0,1,8,17,1426,1140,0.846730
0,1,8,19,1135,952,0.851470
0,1,8,21,678,728,0.892118
0,1,8,22,802,444,0.815846
0,1,8,24,1864,1896,0.856660
0,1,8,26,796,888,0.860939
0,1,8,27,3831,4380,0.868420
0,1,8,28,329,444,0.866408
0,1,8,29,445,460,0.835110
0,1,8,30,698,780,0.875818
0,1,12,1,2114,2184,0.856477
0,1,12,2,3750,3268,0.832003
0,1,12,3,4730,4140,0.834279
0,1,12,4,6712,5944,0.818213
0,1,12,5,3570,3568,0.852698
0,1,12,6,5473,5364,0.843736
0,1,12,7,5552,5312,0.833100
0,1,12,8,1529,1504,0.855116
0,1,12,9,3974,4004,0.867514
0,1,12,10,2939,2496,0.842043
0,1,12,12,2240,2288,0.851723
0,1,12,13,1418,1720,0.870229
0,1,12,14,1463,1164,0.887433
0,1,12,15,1123,1212,0.894018
0,1,12,16,858,980,0.880448
0,1,12,18,795,760,0.843413
0,1,12,19,986,728,0.827199
0,1,12,20,599,576,0.861120
0,1,12,21,648,660,0.866993
0,1,12,22,1020,504,0.802141
0,1,12,23,916,928,0.829964
0,1,12,24,2555,2428,0.821069
0,1,12,26,1181,1240,0.861240
0,1,12,29,728,700,0.886487
0,1,12,30,525,544,0.889322
0,1,16,1,2176,2256,0.829378
0,1,16,2,4803,4288,0.860892
0,1,16,3,5613,4790,0.847061
0,1,16,4,8207,7496,0.826672
0,1,16,5,4282,4276,0.841190
0,1,16,6,5975,5864,0.870385
0,1,16,7,4011,3760,0.833437
0,1,16,8,2215,2252,0.867849
0,1,16,9,4065,4102,0.859267
0,1,16,10,2985,2472,0.852813
0,1,16,12,2185,2272,0.730440
0,1,16,13,1134,1324,0.876796
0,1,16,14,1439,1152,0.882847
0,1,16,15,1152,1264,0.846586
0,1,16,16,850,984,0.869628
0,1,16,17,2268,1828,0.862282
0,1,16,18,866,836,0.847987
0,1,16,19,1091,860,0.858854
0,1,16,20,745,724,0.908671
0,1,16,21,796,812,0.885767
0,1,16,22,1036,484,0.798833
0,1,16,23,929,964,0.842118
0,1,16,24,2624,2504,0.823808
0,1,16,26,1931,2080,0.814482
0,1,16,28,405,528,0.839390
0,1,16,29,677,666,0.850000
0,1,16,30,625,648,0.832031
0,1,20,1,2176,2140,0.844499
0,1,20,2,7903,6976,0.847300
0,1,20,3,5805,4734,0.843197
0,1,20,4,8573,7156,0.848450
0,1,20,5,5138,4752,0.846617
0,1,20,6,6516,5884,0.843959
0,1,20,7,4905,4356,0.838419
0,1,20,8,2696,2648,0.851117
0,1,20,9,4397,4130,0.859731
0,1,20,10,3439,2644,0.853774
0,1,20,12,2050,2060,0.803729
0,1,20,13,1664,1924,0.865777
0,1,20,14,1626,1224,0.866598
0,1,20,15,1320,1404,0.832635
0,1,20,16,1046,1168,0.874565
0,1,20,17,2416,1716,0.845900
0,1,20,18,1121,1032,0.868560
0,1,20,19,1494,1044,0.847733
0,1,20,20,1058,980,0.867859
0,1,20,21,957,928,0.856288
0,1,20,22,1704,836,0.835351
0,1,20,23,885,872,0.821303
0,1,20,24,2478,2132,0.869794
0,1,20,25,509,496,0.893240
0,1,20,26,1469,1468,0.834439
0,1,20,28,798,1004,0.843825
0,1,20,29,825,766,0.822500
0,1,20,30,680,668,0.882673
0,1,24,1,1987,1956,0.845508
0,1,24,2,7774,6980,0.847127
0,1,24,3,6008,4766,0.859261
0,1,24,4,8818,7300,0.860980
0,1,24,5,4421,4020,0.833025
0,1,24,6,6725,6176,0.837574
0,1,24,7,5321,4852,0.863945
0,1,24,8,2906,2928,0.862115
0,1,24,9,3938,3702,0.870616
0,1,24,10,3110,2396,0.856172
0,1,24,12,1760,1748,0.875138
0,1,24,13,1884,2240,0.875665
0,1,24,14,1941,1692,0.856815
0,1,24,15,1387,1520,0.865418
0,1,24,16,1073,1232,0.848173
0,1,24,18,870,796,0.848512
