Dosage,Replicate,Time,Organoid ID,Fluorescence,Area,Perimeter,Solidity,Eccentricity,Circularity,X,Y
0.000000,1.000000,0.000000,1.000000,1502.000000,1736.000000,170.769553,0.963374,0.416540,0.748064,183.587558,79.126728
0.000000,1.000000,0.000000,2.000000,4439.000000,4832.000000,320.468037,0.914286,0.680404,0.591245,204.976821,481.344371
0.000000,1.000000,0.000000,3.000000,2926.000000,3438.000000,245.568542,0.958461,0.400523,0.716424,272.542176,939.459860
0.000000,1.000000,0.000000,4.000000,3974.000000,4412.000000,272.154329,0.966272,0.468686,0.748540,396.907072,759.946963
0.000000,1.000000,0.000000,5.000000,1593.000000,1864.000000,175.597980,0.965803,0.464311,0.759656,435.667382,824.886266
0.000000,1.000000,0.000000,6.000000,3313.000000,3724.000000,260.154329,0.951213,0.591856,0.691445,553.289474,967.591300
0.000000,1.000000,0.000000,7.000000,3974.000000,4308.000000,276.568542,0.955846,0.661130,0.707750,565.273445,697.876045
0.000000,1.000000,0.000000,8.000000,1819.000000,2028.000000,180.769553,0.970799,0.498863,0.779879,587.204142,545.659763
0.000000,1.000000,0.000000,9.000000,1773.000000,2096.000000,186.597980,0.964121,0.522452,0.756462,806.660305,977.370229
0.000000,1.000000,0.000000,10.000000,1811.000000,1964.000000,183.597980,0.956649,0.449848,0.732176,871.229124,844.418534
0.000000,1.000000,0.000000,11.000000,412.000000,456.000000,87.798990,0.932515,0.645725,0.743354,23.885965,248.850877
0.000000,1.000000,0.000000,12.000000,359.000000,408.000000,99.213203,0.837782,0.855992,0.520872,55.225490,238.303922
0.000000,1.000000,0.000000,13.000000,704.000000,944.000000,124.284271,0.960326,0.517178,0.767979,123.296610,984.271186
0.000000,1.000000,0.000000,14.000000,626.000000,632.000000,106.627417,0.923977,0.678067,0.698537,126.348101,361.259494
0.000000,1.000000,0.000000,15.000000,551.000000,632.000000,102.627417,0.941878,0.597517,0.754050,142.348101,53.348101
0.000000,1.000000,0.000000,16.000000,532.000000,656.000000,108.041631,0.935806,0.572827,0.706206,178.646341,839.804878
0.000000,1.000000,0.000000,17.000000,1399.000000,944.000000,161.597980,0.842857,0.402296,0.454266,296.728814,869.677966
0.000000,1.000000,0.000000,18.000000,399.000000,428.000000,83.798990,0.949002,0.612980,0.765907,420.247664,268.911215
0.000000,1.000000,0.000000,19.000000,689.000000,692.000000,109.041631,0.957123,0.642147,0.731360,465.765896,398.014451
0.000000,1.000000,0.000000,20.000000,445.000000,484.000000,88.384776,0.949020,0.602330,0.778575,495.070248,642.235537
0.000000,1.000000,0.000000,21.000000,440.000000,496.000000,88.384776,0.955684,0.479821,0.797878,700.693548,208.161290
0.000000,1.000000,0.000000,22.000000,954.000000,996.000000,139.112698,0.934334,0.593711,0.646749,738.512048,295.552209
0.000000,1.000000,0.000000,23.000000,436.000000,504.000000,95.213203,0.929889,0.776881,0.698628,753.801587,798.198413
0.000000,1.000000,0.000000,24.000000,965.000000,1108.000000,133.455844,0.960971,0.425248,0.781762,826.767148,46.521661
0.000000,1.000000,0.000000,25.000000,581.000000,672.000000,103.384776,0.950495,0.451984,0.790071,936.059524,649.464286
0.000000,1.000000,0.000000,26.000000,816.000000,964.000000,125.455844,0.957299,0.483638,0.769671,945.977178,751.844398
0.000000,1.000000,4.000000,1.000000,2050.000000,2228.000000,191.012193,0.968275,0.292760,0.767367,183.968582,68.227110
0.000000,1.000000,4.000000,2.000000,5376.000000,5340.000000,303.468037,0.972323,0.569647,0.728660,208.790637,473.563670
0.000000,1.000000,4.000000,3.000000,3030.000000,3078.000000,233.083261,0.958879,0.494140,0.711961,269.502924,929.356400
0.000000,1.000000,4.000000,4.000000,6010.000000,6064.000000,356.024387,0.930489,0.544185,0.601187,399.873351,750.759894
0.000000,1.000000,4.000000,5.000000,2387.000000,2572.000000,208.840620,0.958986,0.529033,0.741056,432.426905,812.686625
0.000000,1.000000,4.000000,6.000000,3607.000000,3760.000000,268.468037,0.953831,0.545229,0.655560,550.272340,953.165957
0.000000,1.000000,4.000000,7.000000,3348.000000,3340.000000,244.911688,0.956472,0.606671,0.699741,560.937126,685.256886
0.000000,1.000000,4.000000,8.000000,1504.000000,1604.000000,161.941125,0.962208,0.384593,0.768599,580.587282,537.901496
0.000000,1.000000,4.000000,9.000000,2665.000000,2916.000000,222.911688,0.962376,0.489451,0.737449,799.937586,957.674211
0.000000,1.000000,4.000000,10.000000,1894.000000,1892.000000,181.426407,0.957975,0.258573,0.722321,866.094080,833.024313
0.000000,1.000000,4.000000,12.000000,1903.000000,1992.000000,186.183766,0.950382,0.449351,0.722130,44.973896,219.528112
0.000000,1.000000,4.000000,13.000000,1199.000000,1524.000000,161.355339,0.945996,0.362306,0.735577,121.597113,968.158793
0.000000,1.000000,4.000000,14.000000,1567.000000,1368.000000,156.941125,0.944751,0.504987,0.697947,124.347953,347.657895
0.000000,1.000000,4.000000,15.000000,374.000000,408.000000,83.798990,0.962264,0.642221,0.730117,140.245098,41.970588
0.000000,1.000000,4.000000,16.000000,596.000000,704.000000,107.213203,0.946237,0.434379,0.769637,184.250000,828.715909
0.000000,1.000000,4.000000,17.000000,854.000000,680.000000,131.112698,0.811456,0.802444,0.497083,289.852941,854.805882
0.000000,1.000000,4.000000,19.000000,992.000000,776.000000,119.455844,0.934940,0.686350,0.683371,465.015464,382.211340
0.000000,1.000000,4.000000,21.000000,634.000000,688.000000,106.041631,0.948966,0.312794,0.768857,701.011628,198.174419
0.000000,1.000000,4.000000,22.000000,1399.000000,1056.000000,140.526912,0.927944,0.530562,0.671978,740.810606,287.128788
0.000000,1.000000,4.000000,23.000000,687.000000,752.000000,113.627417,0.943538,0.596437,0.731916,744.936170,789.553191
0.000000,1.000000,4.000000,24.000000,1387.000000,1428.000000,155.112698,0.958389,0.625457,0.745836,816.113445,39.021008
0.000000,1.000000,4.000000,26.000000,1243.000000,1408.000000,153.526912,0.951995,0.557749,0.750660,950.670455,739.931818
0.000000,1.000000,4.000000,27.000000,2959.000000,3330.000000,238.568542,0.966338,0.217369,0.735238,256.013213,73.304805
0.000000,1.000000,4.000000,28.000000,420.000000,560.000000,95.213203,0.944351,0.343984,0.776253,27.142857,992.257143
0.000000,1.000000,4.000000,29.000000,557.000000,578.000000,96.798990,0.932258,0.453224,0.775168,778.242215,849.828720
0.000000,1.000000,4.000000,30.000000,464.000000,520.000000,96.213203,0.926916,0.185820,0.705901,893.069231,463.669231
