Dosage,Replicate,Time,Fluorescence
0,1,0,929899
0,1,4,971933
0,1,8,967217
0,1,12,1016371
0,1,16,1002974
0,1,20,1047344
0,1,24,1018494
0,1,28,1044321
0,1,32,1058039
0,1,36,1037174
0,1,40,1055605
0,1,44,1062027
0,1,48,1084191
0,1,52,1104131
0,1,56,1152998
0,1,60,1124977
0,1,64,1180736
0,1,68,1186231
0,1,72,1176805
0,2,0,897716
0,2,4,934108
0,2,8,927349
0,2,12,974689
0,2,16,963456
0,2,20,1006531
0,2,24,979650
0,2,28,1005480
0,2,32,1021384
0,2,36,1003365
0,2,40,1020376
0,2,44,1021976
0,2,48,1042820
0,2,52,1062088
0,2,56,1112155
0,2,60,1080583
0,2,64,1126484
0,2,68,1123764
0,2,72,1112293
0,3,0,991747
0,3,4,1048087
0,3,8,1036439
0,3,12,1098891
0,3,16,1083892
0,3,20,1137916
0,3,24,1104448
0,3,28,1139362
0,3,32,1157255
0,3,36,1141614
0,3,40,1162503
0,3,44,1165142
0,3,48,1191773
0,3,52,1211944
0,3,56,1259982
0,3,60,1225208
0,3,64,1293209
0,3,68,1293783
0,3,72,1282614
0,4,0,908406
0,4,4,945187
0,4,8,939960
0,4,12,998411
0,4,16,990624
0,4,20,1044840
0,4,24,1016602
0,4,28,1055307
0,4,32,1078059
0,4,36,1065053
0,4,40,1090299
0,4,44,1096470
0,4,48,1126248
0,4,52,1146759
0,4,56,1197439
0,4,60,1166089
0,4,64,1227142
0,4,68,1224245
0,4,72,1214875
0,5,0,850010
0,5,4,876393
0,5,8,879677
0,5,12,930199
0,5,16,925360
0,5,20,972750
0,5,24,951480
0,5,28,983826
0,5,32,1005319
0,5,36,994001
0,5,40,1010960
0,5,44,1018550
0,5,48,1048182
0,5,52,1074172
0,5,56,1122394
0,5,60,1106707
0,5,64,1172460
0,5,68,1178111
0,5,72,1173381
0,0,0,881292
0,0,4,927139
0,0,8,929591
0,0,12,980914
0,0,16,975658
0,0,20,1024311
0,0,24,1000349
0,0,28,1036797
0,0,32,1059482
0,0,36,1048093
0,0,40,1067329
0,0,44,1073619
0,0,48,1100351
0,0,52,1122671
0,0,56,1170368
0,0,60,1149839
0,0,64,1211659
0,0,68,1215996
0,0,72,1213720
1000,1,0,883770
1000,1,4,928580
1000,1,8,923468
1000,1,12,982990
1000,1,16,990567
1000,1,20,1073323
1000,1,24,1086282
1000,1,28,1180171
1000,1,32,1264724
1000,1,36,1309028
1000,1,40,1391079
1000,1,44,1453751
1000,1,48,1523569
1000,1,52,1574047
1000,1,56,1653127
1000,1,60,1607477
1000,1,64,1685427
1000,1,68,1663062
1000,1,72,1632198
1000,2,0,886678
1000,2,4,932711
1000,2,8,929719
1000,2,12,985609
1000,2,16,994602
1000,2,20,1079107
1000,2,24,1092925
1000,2,28,1186789
1000,2,32,1278619
1000,2,36,1321743
1000,2,40,1410284
1000,2,44,1475416
1000,2,48,1562007
1000,2,52,1615643
1000,2,56,1691513
1000,2,60,1640961
1000,2,64,1729379
1000,2,68,1701175
1000,2,72,1671467
1000,3,0,894563
1000,3,4,940385
1000,3,8,943184
1000,3,12,1005961
1000,3,16,1022176
1000,3,20,1117777
1000,3,24,1129447
1000,3,28,1235791
1000,3,32,1336148
1000,3,36,1394029
1000,3,40,1483134
1000,3,44,1549893
1000,3,48,1630817
1000,3,52,1686120
1000,3,56,1770516
1000,3,60,1710110
1000,3,64,1801159
1000,3,68,1768871
1000,3,72,1741244
1000,4,0,930120
1000,4,4,983583
1000,4,8,986287
1000,4,12,1057420
1000,4,16,1080286
1000,4,20,1187253
1000,4,24,1212640
1000,4,28,1335945
1000,4,32,1456022
1000,4,36,1526231
1000,4,40,1643480
1000,4,44,1729999
1000,4,48,1839279
1000,4,52,1913830
1000,4,56,2022296
1000,4,60,1960106
1000,4,64,2077969
1000,4,68,2047387
1000,4,72,2020968
1000,5,0,901454
1000,5,4,943510
1000,5,8,951597
1000,5,12,1019425
1000,5,16,1040340
1000,5,20,1145796
1000,5,24,1166916
1000,5,28,1292139
1000,5,32,1412545
1000,5,36,1475452
1000,5,40,1584484
1000,5,44,1653544
1000,5,48,1745368
1000,5,52,1809562
1000,5,56,1909274
1000,5,60,1841448
1000,5,64,1942960
1000,5,68,1898658
1000,5,72,1880550
1000,0,0,827180
1000,0,4,852788
1000,0,8,861893
1000,0,12,918020
1000,0,16,930445
1000,0,20,1007747
1000,0,24,1017121
1000,0,28,1112312
1000,0,32,1211299
1000,0,36,1259655
1000,0,40,1349003
1000,0,44,1396313
1000,0,48,1470970
1000,0,52,1512937
1000,0,56,1589879
1000,0,60,1538419
1000,0,64,1613386
1000,0,68,1582546
1000,0,72,1564645
300,1,0,996897
300,1,4,1059384
300,1,8,1052280
300,1,12,1115054
300,1,16,1105979
300,1,20,1186593
300,1,24,1180214
300,1,28,1271636
300,1,32,1353716
300,1,36,1387769
300,1,40,1472178
300,1,44,1521087
300,1,48,1597352
300,1,52,1636817
300,1,56,1721796
300,1,60,1660326
300,1,64,1747043
300,1,68,1714756
300,1,72,1694257
300,2,0,890536
300,2,4,936634
300,2,8,935356
300,2,12,996695
300,2,16,1010991
300,2,20,1105301
300,2,24,1122336
300,2,28,1243554
300,2,32,1357063
300,2,36,1432837
300,2,40,1535071
300,2,44,1604055
300,2,48,1703236
300,2,52,1767445
300,2,56,1867691
300,2,60,1813243
300,2,64,1917944
300,2,68,1889865
300,2,72,1867888
300,3,0,862420
300,3,4,890382
300,3,8,891519
300,3,12,945662
300,3,16,953162
300,3,20,1041149
300,3,24,1057413
300,3,28,1164909
300,3,32,1259954
300,3,36,1318616
300,3,40,1408714
300,3,44,1467826
300,3,48,1559729
300,3,52,1615415
300,3,56,1703890
300,3,60,1652826
300,3,64,1741262
300,3,68,1721125
300,3,72,1705125
300,4,0,833486
300,4,4,857861
300,4,8,858591
300,4,12,909131
300,4,16,914282
300,4,20,992671
300,4,24,1004606
300,4,28,1104574
300,4,32,1188393
300,4,36,1239136
300,4,40,1324599
300,4,44,1379707
300,4,48,1458268
300,4,52,1509864
300,4,56,1591192
300,4,60,1539627
300,4,64,1619384
300,4,68,1599356
300,4,72,1582234
300,5,0,879928
300,5,4,906292
300,5,8,903731
300,5,12,954896
300,5,16,956876
300,5,20,1030743
300,5,24,1027784
300,5,28,1116485
300,5,32,1197440
300,5,36,1237851
300,5,40,1316274
300,5,44,1365967
300,5,48,1435262
300,5,52,1475495
300,5,56,1547066
300,5,60,1494845
300,5,64,1565732
300,5,68,1540469
300,5,72,1518284
300,0,0,895171
300,0,4,931555
300,0,8,928021
300,0,12,979049
300,0,16,975782
300,0,20,1052930
300,0,24,1046867
300,0,28,1144301
300,0,32,1224782
300,0,36,1271660
300,0,40,1360122
300,0,44,1399932
300,0,48,1474543
300,0,52,1506152
300,0,56,1575896
300,0,60,1520465
300,0,64,1586482
300,0,68,1556222
300,0,72,1531142
100,1,0,900083
100,1,4,940960
100,1,8,943050
100,1,12,999650
100,1,16,1000929
100,1,20,1095812
100,1,24,1113241
100,1,28,1249167
100,1,32,1379089
100,1,36,1478416
100,1,40,1608895
100,1,44,1701757
100,1,48,1826483
100,1,52,1897975
