Manual area, OrganoID area
1282, 1231
814, 911
455, 438
863, 874
355, 271
1398, 553
1150, 1201
2407, 2408
4491, 4353
140, 118
407, 477
709, 726
467, 477
421, 558
205, 208
1036, 948
278, 290
761, 685
501, 560
179, 163
2142, 2537
400, 415
456, 453
1294, 1132
1588, 1525
995, 908
1394, 1254
621, 615
2165, 2107
2186, 2156
903, 829
1044, 1158
774, 398
890, 902
368, 342
521, 408
957, 961
2442, 1834
816, 832
823, 744
2506, 2163
650, 652
519, 533
131, 118
165, 101
455, 463
475, 574
427, 378
732, 705
285, 238
480, 751
470, 427
312, 101
579, 531
860, 767
1932, 2144
1105, 1124
473, 478
630, 567
695, 695
471, 500
1302, 2195
952, 919
1051, 980
629, 1170
459, 502
711, 594
533, 568
2883, 1696
471, 546
1395, 690
1003, 971
582, 140
200, 167
485, 308
1119, 981
663, 1064
538, 386
530, 613
270, 245
753, 523
550, 563
223, 112
532, 565
1106, 1116
888, 913
544, 317
1470, 1502
747, 716
554, 504
718, 758
752, 845
599, 618
368, 354
407, 409
128, 120
538, 614
2098, 631
614, 194
202, 169
375, 479
215, 165
1968, 1984
243, 231
1480, 1475
552, 535
513, 517
1530, 1571
980, 954
250, 273
1231, 840
1634, 1630
1286, 1313
1960, 1906
756, 726
1034, 1037
2571, 2596
1209, 1225
1517, 1570
2897, 2500
1881, 1833
322, 343
1074, 942
586, 722
3390, 3363
1962, 1926
890, 841
1106, 1098
918, 997
452, 454
487, 375
466, 487
286, 262
887, 917
1078, 1071
2251, 2038
200, 207
1010, 615
1396, 1416
786, 826
488, 514
212, 122
1316, 1458
744, 890
1618, 641
2091, 1948
804, 862
1860, 1868
1082, 1100
2384, 2274
347, 335
2465, 1951
1417, 1478
195, 269
2212, 2090
202, 137
1633, 1640
577, 537
3835, 3532
4437, 3996
919, 914
323, 201
1108, 1098
2094, 2092
641, 626
333, 322
367, 381
169, 133
228, 183
1738, 1736
1941, 2198
1110, 1091
667, 623
906, 1608
910, 863
943, 984
349, 348
319, 257
647, 708
336, 262
1246, 1798
704, 756
497, 293
388, 343
148, 118
277, 275
352, 193
327, 169
480, 383
426, 335
306, 182
333, 136
214, 116
291, 156
220, 172
670, 167
329, 214
563, 704
256, 222
269, 189
330, 291
213, 214
651, 491
294, 233
214, 228
134, 100
127, 117
391, 281
161, 149
172, 127
1242, 1996
322, 311
555, 363
678, 698
645, 503
257, 260
388, 320
262, 152
387, 290
480, 386
285, 227
455, 268
426, 719
440, 417
587, 497
347, 305
1640, 1554
543, 498
1702, 1551
2349, 2130
2862, 2690
522, 980
324, 290
2601, 2601
2008, 1965
541, 566
1554, 1572
1167, 1160
1882, 2521
1995, 1997
5564, 5430
1517, 1474
697, 726
1110, 1107
1208, 1119
566, 627
3753, 2870
1142, 1011
359, 276
415, 345
402, 322
472, 382
154, 126
372, 285
1321, 634
838, 633
709, 476
408, 295
604, 412
683, 441
386, 279
207, 116
284, 111
370, 212
1407, 743
675, 569
1073, 841
406, 216
268, 268
296, 226
198, 114
1636, 624
430, 411
1010, 951
724, 1100
502, 351
873, 1301
502, 506
890, 578
187, 200
363, 328
534, 605
375, 219
689, 753
268, 139
1169, 535
450, 225
368, 218
700, 1110
383, 297
258, 301
181, 177
399, 240
224, 233
3719, 2789
1085, 1102
1773, 1801
1353, 1329
764, 600
1315, 1174
5094, 7133
1548, 1434
1464, 1400
1035, 860
821, 763
1139, 1015
930, 878
552, 611
408, 438
1128, 1084
1200, 1334
358, 382
821, 2027
1249, 1264
1815, 3167
204, 213
660, 1887
2087, 2121
663, 654
1111, 1112
891, 1527
1472, 2256
647, 690
891, 1180
1444, 1453
633, 674
932, 1155
811, 853
517, 544
1502, 1517
667, 629
422, 428
697, 699
1549, 1622
356, 821
182, 179
423, 114
497, 146
319, 482
119, 100
649, 686
203, 205
508, 597
203, 198
227, 252
126, 187
306, 295
934, 2006
505, 734
323, 213
182, 173
130, 110
154, 125
446, 381
718, 201
179, 124
453, 990
379, 1175
178, 127
335, 308
152, 128
282, 250
439, 415
541, 291
164, 131
449, 380
179, 178
230, 178
853, 683
275, 271
565, 411
222, 225
654, 783
257, 556
140, 113
1046, 902
338, 304
154, 172
263, 202
438, 399
230, 328
134, 152
273, 320
403, 373
124, 139
128, 142
300, 306
274, 162
291, 300
241, 292
193, 224
488, 1504
176, 348
478, 1681
153, 130
364, 590
104, 301
420, 421
114, 251
1139, 1238
114, 113
241, 213
396, 436
208, 227
515, 1112
4128, 3643
1258, 1110
2772, 2141
3957, 3946
4027, 4467
5281, 5517
3484, 3528
401, 478
3418, 3506
1521, 1534
6806, 6674
2862, 2933
3700, 3675
388, 432
