Manual area, OrganoID area
586, 722
3390, 3363
1962, 1926
613, 841
1106, 1098
918, 997
452, 454
466, 487
286, 262
1316, 1458
744, 890
1618, 641
1163, 1948
804, 862
1860, 1868
1082, 1100
2384, 2274
347, 335
2465, 1951
1417, 1478
2212, 2090
1146, 1011
367, 276
417, 345
3031, 2870
402, 322
469, 382
373, 285
913, 634
845, 633
715, 476
410, 295
606, 412
681, 441
390, 279
372, 212
1406, 743
675, 569
1077, 841
409, 216
297, 226
269, 268
1530, 624
428, 411
1008, 951
726, 1100
507, 351
500, 506
894, 578
489, 1301
363, 328
530, 605
388, 753
279, 219
367, 336
449, 225
370, 218
799, 535
697, 1110
387, 297
260, 301
400, 240
229, 233
1084, 1102
1777, 1801
3171, 2789
1354, 1329
766, 600
1324, 1174
5090, 7133
1552, 1434
1467, 1400
1032, 860
826, 763
1143, 1015
938, 878
554, 611
413, 438
1129, 1084
